order,movie,year,actor,character
4,Capitão América: O Primeiro Vingador,2011,Bruno Ricci,Jacques Dernier
4,Capitão América: O Primeiro Vingador,2011,Michael Brandon,Senator Brandt
4,Capitão América: O Primeiro Vingador,2011,Natalie Dormer,Pvt. Lorraine
4,Capitão América: O Primeiro Vingador,2011,James Payton,'Adolph Hitler'
4,Capitão América: O Primeiro Vingador,2011,Amanda Righetti,SHIELD Agent
4,Capitão América: O Primeiro Vingador,2011,Jack Conway,SHIELD Agent
4,Capitão América: O Primeiro Vingador,2011,Eddie Davenport,HYDRA Soldier
4,Capitão América: O Primeiro Vingador,2011,Paul Davies,Hydra Soldier
4,Capitão América: O Primeiro Vingador,2011,Drew Gregory,SHIELD Agent
4,Capitão América: O Primeiro Vingador,2011,Todd Von Joel,Hydra Soldier
4,Capitão América: O Primeiro Vingador,2011,Jacob Johnston,HYDRA Soldier
4,Capitão América: O Primeiro Vingador,2011,Matt Kohler,HYDRA Soldier
4,Capitão América: O Primeiro Vingador,2011,Stan Lee,General
4,Capitão América: O Primeiro Vingador,2011,Drew Sherman,HYDRA Soldier
4,Capitão América: O Primeiro Vingador,2011,Sy Turner,Hydra Soldier
5,The Avengers: Os Vingadores,2012,Robert Downey Jr.,Tony Stark
5,The Avengers: Os Vingadores,2012,Chris Evans,Steve Rogers
5,The Avengers: Os Vingadores,2012,Mark Ruffalo,Bruce Banner
5,The Avengers: Os Vingadores,2012,Chris Hemsworth,Thor
5,The Avengers: Os Vingadores,2012,Scarlett Johansson,Natasha Romanoff
5,The Avengers: Os Vingadores,2012,Jeremy Renner,Clint Barton
5,The Avengers: Os Vingadores,2012,Tom Hiddleston,Loki
5,The Avengers: Os Vingadores,2012,Clark Gregg,Agent Phil Coulson
5,The Avengers: Os Vingadores,2012,Cobie Smulders,Agent Maria Hill
5,The Avengers: Os Vingadores,2012,Stellan Skarsgård,Selvig
5,The Avengers: Os Vingadores,2012,Samuel L. Jackson,Nick Fury
5,The Avengers: Os Vingadores,2012,Gwyneth Paltrow,Pepper Potts
5,The Avengers: Os Vingadores,2012,Paul Bettany,Jarvis
5,The Avengers: Os Vingadores,2012,Alexis Denisof,The Other
5,The Avengers: Os Vingadores,2012,Jerzy Skolimowski,Georgi Luchkov
5,The Avengers: Os Vingadores,2012,Powers Boothe,World Security Council
5,The Avengers: Os Vingadores,2012,Jenny Agutter,World Security Council
5,The Avengers: Os Vingadores,2012,Arthur Darbinyan,World Security Council
5,The Avengers: Os Vingadores,2012,Donald Li,World Security Council
5,The Avengers: Os Vingadores,2012,Maximiliano Hernández,Agent Jasper Sitwell
5,The Avengers: Os Vingadores,2012,Harry Dean Stanton,Security Guard
5,The Avengers: Os Vingadores,2012,Stan Lee,Stan Lee
5,The Avengers: Os Vingadores,2012,Pat Kiernan,Pat Kiernan
5,The Avengers: Os Vingadores,2012,Thomas Roberts,Thomas Roberts
5,The Avengers: Os Vingadores,2012,Logan Bennett,S.H.I.E.L.D. Agent
5,The Avengers: Os Vingadores,2012,Mark Falvo,S.H.I.E.L.D Agent
5,The Avengers: Os Vingadores,2012,Lou Ferrigno,The Hulk
5,The Avengers: Os Vingadores,2012,Israel Hall,S.H.I.E.L.D. Agent
5,The Avengers: Os Vingadores,2012,Demoine Kinney,S.H.I.E.L.D. Agent
5,The Avengers: Os Vingadores,2012,Andrea-Nichole Olivas,S.H.I.E.L.D agent
5,The Avengers: Os Vingadores,2012,Jeremy Orr,S.H.I.E.L.D. Agent
5,The Avengers: Os Vingadores,2012,Frank Powers,S.H.I.E.L.D. Agent - Loki Escort
5,The Avengers: Os Vingadores,2012,Jaime Powers,S.H.I.E.L.D. Agent
5,The Avengers: Os Vingadores,2012,Colin Strause,S.H.I.E.L.D. Agent #4
5,The Avengers: Os Vingadores,2012,George Thomas,S.H.I.E.L.D. Agent
6,Homem de Ferro 3,2013,Robert Downey Jr.,Tony Stark
6,Homem de Ferro 3,2013,Gwyneth Paltrow,Pepper Potts
6,Homem de Ferro 3,2013,Don Cheadle,Colonel James Rhodes
6,Homem de Ferro 3,2013,Guy Pearce,Aldrich Killian
6,Homem de Ferro 3,2013,Rebecca Hall,Maya Hansen
6,Homem de Ferro 3,2013,Jon Favreau,Happy Hogan
6,Homem de Ferro 3,2013,Ben Kingsley,Trevor Slattery
6,Homem de Ferro 3,2013,James Badge Dale,Savin
6,Homem de Ferro 3,2013,Stephanie Szostak,Brandt
6,Homem de Ferro 3,2013,Paul Bettany,Jarvis
6,Homem de Ferro 3,2013,William Sadler,President Ellis
6,Homem de Ferro 3,2013,Ty Simpkins,Harley Keener
6,Homem de Ferro 3,2013,Shaun Toub,Ho Yinsen
6,Homem de Ferro 3,2013,Pat Kiernan,Pat Kiernan
6,Homem de Ferro 3,2013,Thomas Roberts,Thomas Roberts
6,Homem de Ferro 3,2013,Bill Maher,Bill Maher
6,Homem de Ferro 3,2013,Joan Rivers,Joan Rivers
6,Homem de Ferro 3,2013,George Kotsiopoulos,George Kotsiopoulos
6,Homem de Ferro 3,2013,Ashley Hamilton,Taggart
6,Homem de Ferro 3,2013,Stan Lee,Pageant Judge
6,Homem de Ferro 3,2013,Adam Pally,Gary the Cameraman
6,Homem de Ferro 3,2013,Susie Pratt,Bambi Arbogast
6,Homem de Ferro 3,2013,Mark Ruffalo,Bruce Banner
7,Agentes da S.H.I.E.L.D.,2013,Clark Gregg,Phil Coulson
7,Agentes da S.H.I.E.L.D.,2013,Ming-Na Wen,Melinda May
7,Agentes da S.H.I.E.L.D.,2013,Chloe Bennet,Daisy 'Skye' Johnson
7,Agentes da S.H.I.E.L.D.,2013,Iain De Caestecker,Leo Fitz
7,Agentes da S.H.I.E.L.D.,2013,Elizabeth Henstridge,Jemma Simmons
7,Agentes da S.H.I.E.L.D.,2013,Brett Dalton,Grant Ward
7,Agentes da S.H.I.E.L.D.,2013,Henry Simmons,Alphonso 'Mack' Mackenzie
7,Agentes da S.H.I.E.L.D.,2013,Nick Blood,Lance Hunter
7,Agentes da S.H.I.E.L.D.,2013,Adrianne Palicki,Bobbi Morse
7,Agentes da S.H.I.E.L.D.,2013,Luke Mitchell,Lincoln Campbell
7,Agentes da S.H.I.E.L.D.,2013,B.J. Britt,Antoine Triplett
7,Agentes da S.H.I.E.L.D.,2013,Ruth Negga,Raina
7,Agentes da S.H.I.E.L.D.,2013,Kyle MacLachlan,Calvin Zabo
7,Agentes da S.H.I.E.L.D.,2013,J. August Richards,Mike Peterson
7,Agentes da S.H.I.E.L.D.,2013,Powers Boothe,Gideon Malick
7,Agentes da S.H.I.E.L.D.,2013,Jamie Harris,Gordon
7,Agentes da S.H.I.E.L.D.,2013,Simon Kassianides,Sunil Bakshi
7,Agentes da S.H.I.E.L.D.,2013,Adrian Pasdar,Glenn Talbot
7,Agentes da S.H.I.E.L.D.,2013,Blair Underwood,Andrew Garner
7,Agentes da S.H.I.E.L.D.,2013,Dichen Lachman,Jiaying
7,Agentes da S.H.I.E.L.D.,2013,Mark Dacascos,Mr. Giyera
7,Agentes da S.H.I.E.L.D.,2013,Christine Adams,Agent Weaver
7,Agentes da S.H.I.E.L.D.,2013,Reed Diamond,Daniel Whitehall
7,Agentes da S.H.I.E.L.D.,2013,Constance Zimmer,Rosalind Price
7,Agentes da S.H.I.E.L.D.,2013,Maya Stojan,Kara Lynn Palamas
7,Agentes da S.H.I.E.L.D.,2013,David Conrad,Ian Quinn
7,Agentes da S.H.I.E.L.D.,2013,Patton Oswalt,Billy Koenig
7,Agentes da S.H.I.E.L.D.,2013,Bill Paxton,John Garrett
7,Agentes da S.H.I.E.L.D.,2013,Juan Pablo Raba,Joey Gutierrez
7,Agentes da S.H.I.E.L.D.,2013,Andrew Howard,Luther Banks
7,Agentes da S.H.I.E.L.D.,2013,Alicia Vela-Bailey,Alisha
7,Agentes da S.H.I.E.L.D.,2013,Matthew Willig,Lash
7,Agentes da S.H.I.E.L.D.,2013,Edward James Olmos,Robert Gonzales
7,Agentes da S.H.I.E.L.D.,2013,Daz Crawford,Kebo
7,Agentes da S.H.I.E.L.D.,2013,Mark Allan Stewart,Agent Oliver
7,Agentes da S.H.I.E.L.D.,2013,Saffron Burrows,Victoria Hand
7,Agentes da S.H.I.E.L.D.,2013,Spencer Treat Clark,Alexander Braun
7,Agentes da S.H.I.E.L.D.,2013,Axle Whitehead,James
7,Agentes da S.H.I.E.L.D.,2013,Titus Welliver,Felix Blake
7,Agentes da S.H.I.E.L.D.,2013,Maximiliano Hernández,Jasper Sitwell
7,Agentes da S.H.I.E.L.D.,2013,Cullen Douglas,Edison Po
7,Agentes da S.H.I.E.L.D.,2013,William Sadler,President Ellis
7,Agentes da S.H.I.E.L.D.,2013,Cobie Smulders,Maria Hill
7,Agentes da S.H.I.E.L.D.,2013,Brian Patrick Wade,Carl Creel
7,Agentes da S.H.I.E.L.D.,2013,Jeffrey Muller,Agent Kaminsky
7,Agentes da S.H.I.E.L.D.,2013,Henry Goodman,Dr. List
7,Agentes da S.H.I.E.L.D.,2013,Raquel Gardner,Carla Talbot
7,Agentes da S.H.I.E.L.D.,2013,Natalia Cordova-Buckley,Elena 'Yo-Yo' Rodriguez
7,Agentes da S.H.I.E.L.D.,2013,John Hannah,Holden Radcliffe
7,Agentes da S.H.I.E.L.D.,2013,Jaimie Alexander,Lady Sif
7,Agentes da S.H.I.E.L.D.,2013,Elena Satine,Lorelei
7,Agentes da S.H.I.E.L.D.,2013,Shannon Lucio,Debbie
7,Agentes da S.H.I.E.L.D.,2013,Peter MacNicol,Professor Elliot Randolph
7,Agentes da S.H.I.E.L.D.,2013,Patrick Brennan,Marcus Daniels
7,Agentes da S.H.I.E.L.D.,2013,Dylan Minnette,Donnie Gill
7,Agentes da S.H.I.E.L.D.,2013,Ron Glass,Dr. Streiten
7,Agentes da S.H.I.E.L.D.,2013,Hayley Atwell,Peggy Carter
7,Agentes da S.H.I.E.L.D.,2013,Samuel L. Jackson,Nick Fury
7,Agentes da S.H.I.E.L.D.,2013,Lucy Lawless,Isabelle 'Izzy' Hartley
7,Agentes da S.H.I.E.L.D.,2013,Kirk Acevedo,Agent Calderon
7,Agentes da S.H.I.E.L.D.,2013,Glenn Morshower,General Jacobs
7,Agentes da S.H.I.E.L.D.,2013,Bethany Joy Lenz,Stephanie Malick
7,Agentes da S.H.I.E.L.D.,2013,Dillon Casey,Will Daniels
7,Agentes da S.H.I.E.L.D.,2013,Tim DeKay,Christian Ward
7,Agentes da S.H.I.E.L.D.,2013,Brian Van Holt,Sebastian Derik
7,Agentes da S.H.I.E.L.D.,2013,Adam Kulbersh,Kenneth Turgeon
7,Agentes da S.H.I.E.L.D.,2013,Wilmer Calderon,Idaho
7,Agentes da S.H.I.E.L.D.,2013,Pascale Armand,Akela Amador
7,Agentes da S.H.I.E.L.D.,2013,Leonor Varela,Camilla Reyes
7,Agentes da S.H.I.E.L.D.,2013,Louis Ozawa Changchien,Chan Ho Yin
7,Agentes da S.H.I.E.L.D.,2013,Ian Hart,Dr. Franklin Hall
7,Agentes da S.H.I.E.L.D.,2013,Laura Seay,Hannah
7,Agentes da S.H.I.E.L.D.,2013,Amy Acker,Audrey Nathan
7,Agentes da S.H.I.E.L.D.,2013,Trenton Rogers,Young Grant Ward
7,Agentes da S.H.I.E.L.D.,2013,Alison White,Marta
7,Agentes da S.H.I.E.L.D.,2013,Emily Baldoni,Sofia
7,Agentes da S.H.I.E.L.D.,2013,Neal McDonough,Dum Dum Dugan
7,Agentes da S.H.I.E.L.D.,2013,Tzi Ma,Agent Kwan
7,Agentes da S.H.I.E.L.D.,2013,Tsai Chin,Lian May
7,Agentes da S.H.I.E.L.D.,2013,Gaius Charles,Ruben Mackenzie
7,Agentes da S.H.I.E.L.D.,2013,Stan Lee,Debonair Gentleman
7,Agentes da S.H.I.E.L.D.,2013,Austin Lyon,Teenage Grant Ward
7,Agentes da S.H.I.E.L.D.,2013,Justin Morck,Watchdog Alpha
7,Agentes da S.H.I.E.L.D.,2013,Brad Dourif,Thomas Nash
7,Agentes da S.H.I.E.L.D.,2013,Falk Hentschel,Marcus Scarlotti
7,Agentes da S.H.I.E.L.D.,2013,Michael J. Silver,Alpha
7,Agentes da S.H.I.E.L.D.,2013,Felisha Terrell,Emily Deville
7,Agentes da S.H.I.E.L.D.,2013,Carolina Espiro,Waitress
7,Agentes da S.H.I.E.L.D.,2013,Brittnee Garza,Cashier
7,Agentes da S.H.I.E.L.D.,2013,Roberto Medina,Bishop
7,Agentes da S.H.I.E.L.D.,2013,Cameron Palatas,Young Gideon Malick
