id,label,timeset,morder,myear,mcost,mgross,mprofit,mtomatometer,maudience,aname,atwitter,afacebook,type
3033,Bill O'Reilly,,2,2010,0,0,0,0,0,Bill O'Reilly,0,0,actor
3034,Billy Koenig,,7,2013,0,0,0,0,0,Patton Oswalt,0,0,actor
3035,Bishop,,7,2013,0,0,0,0,0,Roberto Medina,0,0,actor
3036,Blake Tower,,12,2015,0,0,0,0,0,Stephen Rider,0,0,actor
3037,Bob Shlottman,,15,2015,0,0,0,0,0,Ian Blackman,0,0,actor
3038,Bobbi Morse,,7,2013,0,0,0,0,0,Adrianne Palicki,0,0,actor
3039,Bor,,8,2013,0,0,0,0,0,Tony Curran,0,0,actor
3040,Brandt,,6,2013,0,0,0,0,0,Stephanie Szostak,0,0,actor
3041,Brock Rumlow,,9,2014,0,0,0,0,0,Frank Grillo,0,0,actor
3042,Bruce Banner / Hulk,,1,2008,0,0,0,0,0,Edward Norton,0,0,actor
3043,Bruce Banner / Hulk,,1,2008,0,0,0,0,0,Lou Ferrigno,0,0,actor
3044,Bruce Banner / Hulk,,5,2012,0,0,0,0,0,Mark Ruffalo,0,0,actor
3045,Bucky Barnes / Winter Soldier,,4,2011,0,0,0,0,0,Sebastian Stan,0,0,actor
3046,Calvin Chadwick,,11,2015,0,0,0,0,0,Currie Graham,0,0,actor
3047,Calvin Zabo,,7,2013,0,0,0,0,0,Kyle MacLachlan,0,0,actor
3048,Camilla Reyes,,7,2013,0,0,0,0,0,Leonor Varela,0,0,actor
3049,Captain America (Radio Actor),,11,2015,0,0,0,0,0,Walker Roach,0,0,actor
3050,Carina,,8,2013,0,0,0,0,0,Ophelia Lovibond,0,0,actor
3051,Carl Creel,,7,2013,0,0,0,0,0,Brian Patrick Wade,0,0,actor
3052,Carla Talbot,,7,2013,0,0,0,0,0,Raquel Gardner,0,0,actor
3053,Carol,,11,2015,0,0,0,0,0,Benita Robledo,0,0,actor
3054,Cashier,,7,2013,0,0,0,0,0,Brittnee Garza,0,0,actor
3055,Cassie Lang,,14,2015,0,0,0,0,0,Abby Ryder Fortson,0,0,actor
3056,Chan Ho Yin,,7,2013,0,0,0,0,0,Louis Ozawa Changchien,0,0,actor
3057,Christian Ward,,7,2013,0,0,0,0,0,Tim DeKay,0,0,actor
3058,Christiane Amanpour,,2,2010,0,0,0,0,0,Christiane Amanpour,0,0,actor
3059,Christine Everhart,,0,2008,0,0,0,0,0,Leslie Bibb,0,0,actor
3060,Claire Temple,,12,2015,0,0,0,0,0,Rosario Dawson,0,0,actor
3061,Clea?,,17,2016,0,0,0,0,0,Rachel McAdams,0,0,actor
3062,Clint,,12,2015,0,0,0,0,0,Clyde Baldo,0,0,actor
3063,Clint Barton / Hawkeye,,3,2011,0,0,0,0,0,Jeremy Renner,0,0,actor
3064,Colonel Chester Phillips,,4,2011,0,0,0,0,0,Tommy Lee Jones,0,0,actor
3065,Colonel Ray Schoonover,,12,2015,0,0,0,0,0,Clancy Brown,0,0,actor
3066,Corpsman Dey,,10,2014,0,0,0,0,0,John C. Reilly,0,0,actor
3067,Cosmo the Space Dog,,10,2014,0,0,0,0,0,Fred,0,0,actor
3068,D.A. Samantha Reyes,,12,2015,0,0,0,0,0,Michelle Hurd,0,0,actor
3069,Daisy 'Skye' Johnson,,7,2013,0,0,0,0,0,Chloe Bennet,0,0,actor
3070,Daniel Sousa,,11,2015,0,0,0,0,0,Enver Gjokaj,0,0,actor
3071,Daniel Whitehall,,7,2013,0,0,0,0,0,Reed Diamond,0,0,actor
3072,Darcy Lewis,,3,2011,0,0,0,0,0,Kat Dennings,0,0,actor
3073,Darren Cross,,14,2015,0,0,0,0,0,Corey Stoll,0,0,actor
3074,Dave,,14,2015,0,0,0,0,0,T.I.,0,0,actor
3075,Debbie,,7,2013,0,0,0,0,0,Shannon Lucio,0,0,actor
3076,Denarian Saal,,10,2014,0,0,0,0,0,Peter Serafinowicz,0,0,actor
3077,Det. Oscar Clemons,,15,2015,0,0,0,0,0,Clarke Peters,0,0,actor
3078,Detective Hoffman,,12,2015,0,0,0,0,0,Daryl Edwards,0,0,actor
3079,Director Kenneth,,11,2015,0,0,0,0,0,Randy Sklar,0,0,actor
3080,Donnie Gill,,7,2013,0,0,0,0,0,Dylan Minnette,0,0,actor
3081,Doris Urich,,12,2015,0,0,0,0,0,Adriane Lenox,0,0,actor
3082,Dormammu?,,17,2016,0,0,0,0,0,Mads Mikkelsen,0,0,actor
3083,Dorothy Walker,,15,2015,0,0,0,0,0,Rebecca De Mornay,0,0,actor
3084,Dottie Underwood,,11,2015,0,0,0,0,0,Bridget Regan,0,0,actor
3085,Dr. Abraham Erskine,,4,2011,0,0,0,0,0,Stanley Tucci,0,0,actor
3086,Dr. Arnim Zola,,4,2011,0,0,0,0,0,Toby Jones,0,0,actor
3087,Dr. Chung,,11,2015,0,0,0,0,0,Tom Choi,0,0,actor
3088,Dr. Franklin Hall,,7,2013,0,0,0,0,0,Ian Hart,0,0,actor
3089,Dr. Hank Pym,,14,2015,0,0,0,0,0,Michael Douglas,0,0,actor
3090,Dr. Helen Cho,,13,2015,0,0,0,0,0,Claudia Kim,0,0,actor
3091,Dr. Ivchenko,,11,2015,0,0,0,0,0,Ralph Brown,0,0,actor
3092,Dr. List,,7,2013,0,0,0,0,0,Henry Goodman,0,0,actor
3093,Dr. Samberly,,11,2015,0,0,0,0,0,Matt Braunger,0,0,actor
3094,Dr. Stephen Strange,,17,2016,0,0,0,0,0,Benedict Cumberbatch,0,0,actor
3095,Dr. Streiten,,7,2013,0,0,0,0,0,Ron Glass,0,0,actor
3096,Drax,,10,2014,0,0,0,0,0,Dave Bautista,0,0,actor
3097,Eddie Corbett,,1,2008,0,0,0,0,0,Brandon Cruz,0,0,actor
3098,Edison Po,,7,2013,0,0,0,0,0,Cullen Douglas,0,0,actor
3099,Edwin Jarvis,,11,2015,0,0,0,0,0,James D'Arcy,0,0,actor
3100,Eir,,8,2013,0,0,0,0,0,Alice Krige,0,0,actor
3101,Elektra Natchios,,12,2015,0,0,0,0,0,Elodie Yung,0,0,actor
3102,Elena Cardenas,,12,2015,0,0,0,0,0,Judith Delgado,0,0,actor
3103,Elena 'Yo-Yo' Rodriguez,,7,2013,0,0,0,0,0,Natalia Cordova-Buckley,0,0,actor
3104,Ellen King,,7,2013,0,0,0,0,0,Melissa Bickerton,0,0,actor
3105,Elon Musk,,2,2010,0,0,0,0,0,Elon Musk,0,0,actor
3106,Emil Blonsky,,1,2008,0,0,0,0,0,Tim Roth,0,0,actor
3107,Emily,,14,2015,0,0,0,0,0,Lyndsi LaRose,0,0,actor
3108,Emily Deville,,7,2013,0,0,0,0,0,Felisha Terrell,0,0,actor
3109,Erik Selvig,,3,2011,0,0,0,0,0,Stellan Skarsgård,0,0,actor
3110,Everett K. Ross,,16,2016,0,0,0,0,0,Martin Freeman,0,0,actor
3111,F.R.I.D.A.Y.,,13,2015,0,0,0,0,0,Kerry Condon,0,0,actor
3112,Fandral,,3,2011,0,0,0,0,0,Josh Dallas,0,0,actor
3113,Fandral,,8,2013,0,0,0,0,0,Zachary Levi,0,0,actor
3114,Father Lantom,,12,2015,0,0,0,0,0,Peter McRobbie,0,0,actor
3115,Felix Blake,,7,2013,0,0,0,0,0,Titus Welliver,0,0,actor
3116,Foggy Nelson,,12,2015,0,0,0,0,0,Elden Henson,0,0,actor
3117,Frank Castle,,12,2015,0,0,0,0,0,Jon Bernthal,0,0,actor
3118,Frigga,,3,2011,0,0,0,0,0,Rene Russo,0,0,actor
3119,Gabe Jones,,4,2011,0,0,0,0,0,Derek Luke,0,0,actor
3120,Gamora,,10,2014,0,0,0,0,0,Zoe Saldana,0,0,actor
3121,General Gabriel,,0,2008,0,0,0,0,0,Bill Smitrovich,0,0,actor
3122,General Jacobs,,7,2013,0,0,0,0,0,Glenn Morshower,0,0,actor
3123,General 'Thunderbolt' Ross,,1,2008,0,0,0,0,0,William Hurt,0,0,actor
3124,George Kotsiopoulos,,6,2013,0,0,0,0,0,George Kotsiopoulos,0,0,actor
3125,Georges Batroc,,9,2014,0,0,0,0,0,Georges St-Pierre,0,0,actor
3126,Georgi Luchkov,,5,2012,0,0,0,0,0,Jerzy Skolimowski,0,0,actor
3127,Gideon Malick,,5,2012,0,0,0,0,0,Powers Boothe,0,0,actor
3128,Glenn Talbot,,7,2013,0,0,0,0,0,Adrian Pasdar,0,0,actor
3129,Gordon,,7,2013,0,0,0,0,0,Jamie Harris,0,0,actor
3130,Grandpa,,10,2014,0,0,0,0,0,Gregg Henry,0,0,actor
3131,Grant Ward,,7,2013,0,0,0,0,0,Brett Dalton,0,0,actor
3132,Groot,,10,2014,0,0,0,0,0,Vin Diesel,0,0,actor
3133,Grotto,,12,2015,0,0,0,0,0,McCaleb Burnett,0,0,actor
3134,Hank,,11,2015,0,0,0,0,0,Chris Coppola,0,0,actor
3135,Hannah,,7,2013,0,0,0,0,0,Laura Seay,0,0,actor
3136,Happy Hogan,,0,2008,0,0,0,0,0,Jon Favreau,0,0,actor
3137,Happy Sam Sawyer,,11,2015,0,0,0,0,0,Leonard Roberts,0,0,actor
3138,Harley Keener,,6,2013,0,0,0,0,0,Ty Simpkins,0,0,actor
3139,Heimdall,,3,2011,0,0,0,0,0,Idris Elba,0,0,actor
3140,Heinz Kruger,,4,2011,0,0,0,0,0,Richard Armitage,0,0,actor
3141,Hirochi,,12,2015,0,0,0,0,0,Ron Nakahara,0,0,actor
3142,Ho Yinsen,,0,2008,0,0,0,0,0,Shaun Toub,0,0,actor
3143,Hogun,,3,2011,0,0,0,0,0,Tadanobu Asano,0,0,actor
3144,Holden Radcliffe,,7,2013,0,0,0,0,0,John Hannah,0,0,actor
3145,Hope Shlottman,,15,2015,0,0,0,0,0,Erin Moriarty,0,0,actor
3146,Hope van Dyne / Vasp?,,14,2015,0,0,0,0,0,Evangeline Lilly,0,0,actor
3147,Howard Stark,,4,2011,0,0,0,0,0,Dominic Cooper,0,0,actor
3148,Howard Stark,,0,2008,0,0,0,0,0,Gerard Sanders,0,0,actor
3149,Howard Stark,,2,2010,0,0,0,0,0,John Slattery,0,0,actor
3150,Howard the Duck,,10,2014,0,0,0,0,0,Seth Green,0,0,actor
3151,Hugh Jones,,11,2015,0,0,0,0,0,Ray Wise,0,0,actor
3152,Ian Boothby,,8,2013,0,0,0,0,0,Jonathan Howard,0,0,actor
3153,Ian Quinn,,7,2013,0,0,0,0,0,David Conrad,0,0,actor
3154,Idaho,,7,2013,0,0,0,0,0,Wilmer Calderon,0,0,actor
3155,Isabela Alvarez,,3,2011,0,0,0,0,0,Adriana Barraza,0,0,actor
3156,Isabelle 'Izzy' Hartley,,7,2013,0,0,0,0,0,Lucy Lawless,0,0,actor
3157,Ivan Vanko,,2,2010,0,0,0,0,0,Mickey Rourke,0,0,actor
3158,Jack,,2,2010,0,0,0,0,0,Jack White,0,0,actor
3159,Jack Murdock,,12,2015,0,0,0,0,0,John Patrick Hayden,0,0,actor
3160,Jack Rollins,,9,2014,0,0,0,0,0,Callan Mulvey,0,0,actor
3161,Jack Thompson,,11,2015,0,0,0,0,0,Chad Michael Murray,0,0,actor
3162,Jacques Dernier,,4,2011,0,0,0,0,0,Bruno Ricci,0,0,actor
3163,Jacques Duchamps,,12,2015,0,0,0,0,0,Gilles Marini,0,0,actor
3164,James,,7,2013,0,0,0,0,0,Axle Whitehead,0,0,actor
3165,James Montgomery Falsworth,,4,2011,0,0,0,0,0,JJ Feild,0,0,actor
3166,James Rhodes / War Machine,,2,2010,0,0,0,0,0,Don Cheadle,0,0,actor
3167,James Rhodes / War Machine,,0,2008,0,0,0,0,0,Terrence Howard,0,0,actor
3168,James Wesley,,12,2015,0,0,0,0,0,Toby Leonard Moore,0,0,actor
3169,Jane Foster,,3,2011,0,0,0,0,0,Natalie Portman,0,0,actor
3170,Janet Van Dyne,,14,2015,0,0,0,0,0,Hayley Lovitt,0,0,actor
3171,Jarvis / Vision,,0,2008,0,0,0,0,0,Paul Bettany,0,0,actor
3172,Jason Wilkes,,11,2015,0,0,0,0,0,Reggie Austin,0,0,actor
3173,Jasper Sitwell,,3,2011,0,0,0,0,0,Maximiliano Hernández,0,0,actor
3174,Jemma Simmons,,7,2013,0,0,0,0,0,Elizabeth Henstridge,0,0,actor
3175,Jeri Hogarth,,12,2015,0,0,0,0,0,Carrie-Anne Moss,0,0,actor
3176,Jessica Jones,,15,2015,0,0,0,0,0,Krysten Ritter,0,0,actor
3177,Jiaying,,7,2013,0,0,0,0,0,Dichen Lachman,0,0,actor
3178,Jim Morita,,4,2011,0,0,0,0,0,Kenneth Choi,0,0,actor
3179,Jimmy,,0,2008,0,0,0,0,0,Kevin Foster,0,0,actor
3180,Joan Rivers,,6,2013,0,0,0,0,0,Joan Rivers,0,0,actor
3181,Joey Gutierrez,,7,2013,0,0,0,0,0,Juan Pablo Raba,0,0,actor
3182,Johann Schmidt,,4,2011,0,0,0,0,0,Hugo Weaving,0,0,actor
3183,John Garrett,,7,2013,0,0,0,0,0,Bill Paxton,0,0,actor
3184,Joseph Manfredi,,11,2015,0,0,0,0,0,Ken Marino,0,0,actor
3185,Justin Hammer,,2,2010,0,0,0,0,0,Sam Rockwell,0,0,actor
3186,Kara Lynn Palamas,,7,2013,0,0,0,0,0,Maya Stojan,0,0,actor
3187,Karen Page,,12,2015,0,0,0,0,0,Deborah Ann Woll,0,0,actor
3188,Kebo,,7,2013,0,0,0,0,0,Daz Crawford,0,0,actor
3189,Kenneth Turgeon,,7,2013,0,0,0,0,0,Adam Kulbersh,0,0,actor
3190,Kilgrave,,15,2015,0,0,0,0,0,David Tennant,0,0,actor
3191,King Laufey,,3,2011,0,0,0,0,0,Colm Feore,0,0,actor
3192,King T'Chaka,,16,2016,0,0,0,0,0,John Kani,0,0,actor
3193,Korath,,10,2014,0,0,0,0,0,Djimon Hounsou,0,0,actor
3194,Kraglin,,10,2014,0,0,0,0,0,Sean Gunn,0,0,actor
3195,Kurt,,14,2015,0,0,0,0,0,David Dastmalchian,0,0,actor
3196,Lady Sif,,3,2011,0,0,0,0,0,Jaimie Alexander,0,0,actor
3197,Lance Hunter,,7,2013,0,0,0,0,0,Nick Blood,0,0,actor
3198,Lash,,7,2013,0,0,0,0,0,Matthew Willig,0,0,actor
3199,Laura Barton,,13,2015,0,0,0,0,0,Linda Cardellini,0,0,actor
3200,Leet Brannis,,11,2015,0,0,0,0,0,James Frain,0,0,actor
3201,Leland Owlsley,,12,2015,0,0,0,0,0,Bob Gunton,0,0,actor
3202,Leo Fitz,,7,2013,0,0,0,0,0,Iain De Caestecker,0,0,actor
3203,Leonard,,1,2008,0,0,0,0,0,Ty Burrell,0,0,actor
3204,Lian May,,7,2013,0,0,0,0,0,Tsai Chin,0,0,actor
3205,Lincoln Campbell,,7,2013,0,0,0,0,0,Luke Mitchell,0,0,actor
3206,Loki,,3,2011,0,0,0,0,0,Tom Hiddleston,0,0,actor
3207,Lorelei,,7,2013,0,0,0,0,0,Elena Satine,0,0,actor
3208,Loretta Dooley,,11,2015,0,0,0,0,0,Sarah Bloom,0,0,actor
3209,Louise Thompson,,15,2015,0,0,0,0,0,Lisa Emery,0,0,actor
3210,Luis,,14,2015,0,0,0,0,0,Michael Peña,0,0,actor
3211,Luke Cage,,15,2015,0,0,0,0,0,Mike Colter,0,0,actor
3212,Luther Banks,,7,2013,0,0,0,0,0,Andrew Howard,0,0,actor
3213,Madame Gao,,12,2015,0,0,0,0,0,Wai Ching Ho,0,0,actor
3214,Maggie Lang,,14,2015,0,0,0,0,0,Judy Greer,0,0,actor
3215,Major Allen,,0,2008,0,0,0,0,0,Tim Guinee,0,0,actor
3216,Major Kathleen Sparr,,1,2008,0,0,0,0,0,Christina Cabot,0,0,actor
3217,Malcolm Ducasse,,15,2015,0,0,0,0,0,Eka Darville,0,0,actor
3218,Malekith,,8,2013,0,0,0,0,0,Christopher Eccleston,0,0,actor
3219,Marcel,,12,2015,0,0,0,0,0,Alexander Blaise,0,0,actor
3220,Marci Stahl,,12,2015,0,0,0,0,0,Amy Rutberg,0,0,actor
3221,Marcus Daniels,,7,2013,0,0,0,0,0,Patrick Brennan,0,0,actor
3222,Marcus Scarlotti,,7,2013,0,0,0,0,0,Falk Hentschel,0,0,actor
3223,Marlene Fisk,,12,2015,0,0,0,0,0,Angela Reed,0,0,actor
3224,Marta,,7,2013,0,0,0,0,0,Alison White,0,0,actor
3225,Matt Murdock,,12,2015,0,0,0,0,0,Charlie Cox,0,0,actor
3226,May Parker,,16,2016,0,0,0,0,0,Marisa Tomei,0,0,actor
3227,Maya Hansen,,6,2013,0,0,0,0,0,Rebecca Hall,0,0,actor
3228,McGee,,1,2008,0,0,0,0,0,Nicholas Rose,0,0,actor
3229,Melinda May,,7,2013,0,0,0,0,0,Ming-Na Wen,0,0,actor
3230,Melvin Potter,,12,2015,0,0,0,0,0,Matt Gerald,0,0,actor
3231,Meredith Quill,,10,2014,0,0,0,0,0,Laura Haddock,0,0,actor
3232,Michael Carter,,11,2015,0,0,0,0,0,Max Brown,0,0,actor
3233,Mike Peterson,,7,2013,0,0,0,0,0,J. August Richards,0,0,actor
3234,Miles Van Ert,,11,2015,0,0,0,0,0,James Urbaniak,0,0,actor
3235,Miriam,,16,2016,0,0,0,0,0,Alfre Woodard,0,0,actor
3236,Miriam Fry,,11,2015,0,0,0,0,0,Meagen Fay,0,0,actor
3237,Mitchell Carson,,14,2015,0,0,0,0,0,Martin Donovan,0,0,actor
3238,Mitchell Ellison,,12,2015,0,0,0,0,0,Geoffrey Cantor,0,0,actor
3239,Molly Bowden,,11,2015,0,0,0,0,0,Laura Coover,0,0,actor
3240,Mr. Giyera,,7,2013,0,0,0,0,0,Mark Dacascos,0,0,actor
3241,Mrs. Vistain,,12,2015,0,0,0,0,0,Phyllis Somerville,0,0,actor
3242,Natasha Romanoff / Black Widow,,2,2010,0,0,0,0,0,Scarlett Johansson,0,0,actor
3243,Nebula,,10,2014,0,0,0,0,0,Karen Gillan,0,0,actor
3244,Nick Fury,,0,2008,0,0,0,0,0,Samuel L. Jackson,0,0,actor
3245,Nicodemus West,,17,2016,0,0,0,0,0,Michael Stuhlbarg,0,0,actor
3246,Nicole,,15,2015,0,0,0,0,0,Nichole Yannetty,0,0,actor
3247,Nobu,,12,2015,0,0,0,0,0,Peter Shinkoda,0,0,actor
3248,Nova Prime,,10,2014,0,0,0,0,0,Glenn Close,0,0,actor
3249,Obadiah Stane,,0,2008,0,0,0,0,0,Jeff Bridges,0,0,actor
3250,Odin,,3,2011,0,0,0,0,0,Anthony Hopkins,0,0,actor
3251,Pam,,15,2015,0,0,0,0,0,Susie Abromeit,0,0,actor
3252,Pat Kiernan,,5,2012,0,0,0,0,0,Pat Kiernan,0,0,actor
3253,Paula,,7,2013,0,0,0,0,0,Staci Roberts Steele,0,0,actor
3254,Paxton,,14,2015,0,0,0,0,0,Bobby Cannavale,0,0,actor
3255,Peggy Carter,,4,2011,0,0,0,0,0,Hayley Atwell,0,0,actor
3256,Pepper Potts,,0,2008,0,0,0,0,0,Gwyneth Paltrow,0,0,actor
3257,Peter Parker,,16,2016,0,0,0,0,0,Tom Holland,0,0,actor
3258,Peter Quill,,10,2014,0,0,0,0,0,Chris Pratt,0,0,actor
3259,Pietro Maximoff / Quicksilver,,9,2014,0,0,0,0,0,Aaron Taylor-Johnson,0,0,actor
3260,Pinky Pinkerton,,11,2015,0,0,0,0,0,Richard Short,0,0,actor
3261,Pratt,,0,2008,0,0,0,0,0,Garret Noël,0,0,actor
3262,President Ellis,,6,2013,0,0,0,0,0,William Sadler,0,0,actor
3263,Professor Elliot Randolph,,7,2013,0,0,0,0,0,Peter MacNicol,0,0,actor
3264,Pvt. Lorraine,,4,2011,0,0,0,0,0,Natalie Dormer,0,0,actor
3265,Raina,,7,2013,0,0,0,0,0,Ruth Negga,0,0,actor
3266,Ramirez,,0,2008,0,0,0,0,0,Eileen Weisinger,0,0,actor
3267,Ravager,,10,2014,0,0,0,0,0,Raed Abbas,0,0,actor
3268,Ray Krzeminski,,11,2015,0,0,0,0,0,Kyle Bornheimer,0,0,actor
3269,Raza,,0,2008,0,0,0,0,0,Faran Tahir,0,0,actor
3270,Richard,,8,2013,0,0,0,0,0,Chris O'Dowd,0,0,actor
3271,Robert Gonzales,,7,2013,0,0,0,0,0,Edward James Olmos,0,0,actor
3272,Robyn,,15,2015,0,0,0,0,0,Colby Minifie,0,0,actor
3273,Rocket,,10,2014,0,0,0,0,0,Bradley Cooper,0,0,actor
3274,Roger Dooley,,11,2015,0,0,0,0,0,Shea Whigham,0,0,actor
3275,Ronan,,10,2014,0,0,0,0,0,Lee Pace,0,0,actor
3276,Rosalind Price,,7,2013,0,0,0,0,0,Constance Zimmer,0,0,actor
3277,Roscoe Sweeney,,12,2015,0,0,0,0,0,Kevin Nagle,0,0,actor
3278,Rose,,11,2015,0,0,0,0,0,Lesley Boone,0,0,actor
3279,Ruben,,15,2015,0,0,0,0,0,Kieran Mulcare,0,0,actor
3280,Ruben Mackenzie,,7,2013,0,0,0,0,0,Gaius Charles,0,0,actor
3281,Rufus,,11,2015,0,0,0,0,0,Chris Browning,0,0,actor
3282,Sam Wilson / Falcon,,9,2014,0,0,0,0,0,Anthony Mackie,0,0,actor
3283,Samantha Reyes,,12,2015,0,0,0,0,0,Michelle Hurd,0,0,actor
