id,label,timeset,morder,myear,mcost,mgross,mprofit,mtomatometer,maudience,aname,atwitter,afacebook,type
3284,Samuel Sterns,,1,2008,0,0,0,0,0,Tim Blake Nelson,0,0,actor
3285,Sasha Demidov,,11,2015,0,0,0,0,0,James Landry Hébert,0,0,actor
3286,Savin,,6,2013,0,0,0,0,0,James Badge Dale,0,0,actor
3287,Scott Lang / Ant-Man,,14,2015,0,0,0,0,0,Paul Rudd,0,0,actor
3288,Sebastian Derik,,7,2013,0,0,0,0,0,Brian Van Holt,0,0,actor
3289,Secretary of State Thaddeus Ross,,1,2008,0,0,0,0,0,William Hurt,0,0,actor
3290,Senator Brandt,,4,2011,0,0,0,0,0,Michael Brandon,0,0,actor
3291,Senator Stern,,2,2010,0,0,0,0,0,Garry Shandling,0,0,actor
3292,Sgt. Brett Mahoney,,12,2015,0,0,0,0,0,Royce Johnson,0,0,actor
3293,Sheldon McFee,,11,2015,0,0,0,0,0,Devin Ratray,0,0,actor
3294,Smithsonian Museum Visitor,,9,2014,0,0,0,0,0,James Lewis,0,0,actor
3295,Sofia,,7,2013,0,0,0,0,0,Emily Baldoni,0,0,actor
3296,Sok,,13,2015,0,0,0,0,0,Lukas DiSparrow,0,0,actor
3297,Stan Lee,,0,2008,0,0,0,0,0,Stan Lee,0,0,actor
3298,Stanley,,1,2008,0,0,0,0,0,Paul Soles,0,0,actor
3299,Stephanie Malick,,7,2013,0,0,0,0,0,Bethany Joy Lenz,0,0,actor
3300,Steve Rogers / Captain America,,4,2011,0,0,0,0,0,Chris Evans,0,0,actor
3301,Stick,,12,2015,0,0,0,0,0,Scott Glenn,0,0,actor
3302,Stone,,12,2015,0,0,0,0,0,David Sobolov,0,0,actor
3303,Stone,,12,2015,0,0,0,0,0,Jasson Finney,0,0,actor
3304,Sunil Bakshi,,7,2013,0,0,0,0,0,Simon Kassianides,0,0,actor
3305,Taggart,,6,2013,0,0,0,0,0,Ashley Hamilton,0,0,actor
3306,T'Challa,,16,2016,0,0,0,0,0,Chadwick Boseman,0,0,actor
3307,Thanos,,5,2012,0,0,0,0,0,Josh Brolin,0,0,actor
3308,The Agent,,13,2015,0,0,0,0,0,Eric Morcos,0,0,actor
3309,The Ancient One,,17,2016,0,0,0,0,0,Tilda Swinton,0,0,actor
3310,The Baroness,,7,2013,0,0,0,0,0,Kathryn Leigh Scott,0,0,actor
3311,The Broker,,10,2014,0,0,0,0,0,Christopher Fairbank,0,0,actor
3312,The Collector,,8,2013,0,0,0,0,0,Benicio Del Toro,0,0,actor
3313,The Other,,5,2012,0,0,0,0,0,Alexis Denisof,0,0,actor
3314,Thomas Gloucester,,11,2015,0,0,0,0,0,Casey Sander,0,0,actor
3315,Thomas Nash,,7,2013,0,0,0,0,0,Brad Dourif,0,0,actor
3316,Thomas Roberts,,5,2012,0,0,0,0,0,Thomas Roberts,0,0,actor
3317,Thor,,3,2011,0,0,0,0,0,Chris Hemsworth,0,0,actor
3318,Timothy 'Dum Dum' Dugan,,4,2011,0,0,0,0,0,Neal McDonough,0,0,actor
3319,Tina Adams,,7,2013,0,0,0,0,0,Katie Hilliard,0,0,actor
3320,Tom Corbett,,1,2008,0,0,0,0,0,Bill Bixby,0,0,actor
3321,Tony Stark / Iron Man,,0,2008,0,0,0,0,0,Robert Downey Jr.,0,0,actor
3322,Trevor Slattery,,6,2013,0,0,0,0,0,Ben Kingsley,0,0,actor
3323,Trish Walker,,15,2015,0,0,0,0,0,Rachael Taylor,0,0,actor
3324,Turk Barrett,,12,2015,0,0,0,0,0,Rob Morgan,0,0,actor
3325,Tyr,,8,2013,0,0,0,0,0,Clive Russell,0,0,actor
3326,Ultron,,13,2015,0,0,0,0,0,James Spader,0,0,actor
3327,Ulysses Klaue,,13,2015,0,0,0,0,0,Andy Serkis,0,0,actor
3328,Vanessa Marianna,,12,2015,0,0,0,0,0,Ayelet Zurer,0,0,actor
3329,Vernon Masters,,11,2015,0,0,0,0,0,Kurtwood Smith,0,0,actor
3330,Victoria Hand,,7,2013,0,0,0,0,0,Saffron Burrows,0,0,actor
3331,Violet,,11,2015,0,0,0,0,0,Sarah Bolger,0,0,actor
3332,Vladimir Ranskahov,,12,2015,0,0,0,0,0,Nikolai Nikolaeff,0,0,actor
3333,Volstagg,,3,2011,0,0,0,0,0,Ray Stevenson,0,0,actor
3334,Wanda Maximoff / Scarlet Witch,,9,2014,0,0,0,0,0,Elizabeth Olsen,0,0,actor
3335,Wendy Ross-Hogarth,,15,2015,0,0,0,0,0,Robin Weigert,0,0,actor
3336,Whitney Frost,,11,2015,0,0,0,0,0,Wynn Everett,0,0,actor
3337,Will Daniels,,7,2013,0,0,0,0,0,Dillon Casey,0,0,actor
3338,Will Simpson,,15,2015,0,0,0,0,0,Wil Traval,0,0,actor
3339,William Ginter Riva,,0,2008,0,0,0,0,0,Peter Billingsley,0,0,actor
3340,Wilson Fisk,,12,2015,0,0,0,0,0,Vincent D'Onofrio,0,0,actor
3341,Wong,,17,2016,0,0,0,0,0,Benedict Wong,0,0,actor
3342,Yinsen,,0,2008,0,0,0,0,0,Shaun Toub,0,0,actor
3343,Zemo,,16,2016,0,0,0,0,0,Daniel Brühl,0,0,actor
3344,Zrinka,,13,2015,0,0,0,0,0,Dominique Provost-Chalkley,0,0,actor
