id,label,timeset,morder,myear,mcost,mgross,mprofit,mtomatometer,maudience,aname,atwitter,afacebook,type,role,rank
290,Peter Parker / Spider-Man,,16,2016,0,0,0,0,0,Tom Holland,0,0,actor,avenger,10
291,Peter Quill,,10,2014,0,0,0,0,0,Chris Pratt,0,0,actor,guardian,10
292,Pietro Maximoff / Quicksilver,,9,2014,0,0,0,0,0,Aaron Taylor-Johnson,0,0,actor,avenger,20
293,Pinky Pinkerton,,11,2015,0,0,0,0,0,Richard Short,0,0,actor,support,1
294,Pratt,,0,2008,0,0,0,0,0,Garret Noël,0,0,actor,support,10
295,President Ellis,,6,2013,0,0,0,0,0,William Sadler,0,0,actor,support,13
296,Professor Elliot Randolph,,7,2013,0,0,0,0,0,Peter MacNicol,0,0,actor,support,2
297,Pvt. Lorraine,,4,2011,0,0,0,0,0,Natalie Dormer,0,0,actor,support,10
298,Raina,,7,2013,0,0,0,0,0,Ruth Negga,0,0,actor,villain,17
299,Ramirez,,0,2008,0,0,0,0,0,Eileen Weisinger,0,0,actor,support,10
300,Ravager,,10,2014,0,0,0,0,0,Raed Abbas,0,0,actor,support,10
301,Ray Krzeminski,,11,2015,0,0,0,0,0,Kyle Bornheimer,0,0,actor,support,3
302,Raza,,0,2008,0,0,0,0,0,Faran Tahir,0,0,actor,support,10
303,Richard,,8,2013,0,0,0,0,0,Chris O'Dowd,0,0,actor,support,10
304,Robert Gonzales,,7,2013,0,0,0,0,0,Edward James Olmos,0,0,actor,support,5
305,Robyn,,15,2015,0,0,0,0,0,Colby Minifie,0,0,actor,support,5
306,Rocket,,10,2014,0,0,0,0,0,Bradley Cooper,0,0,actor,guardian,10
307,Roger Dooley,,11,2015,0,0,0,0,0,Shea Whigham,0,0,actor,support,7
308,Ronan,,10,2014,0,0,0,0,0,Lee Pace,0,0,actor,villain,10
309,Rosalind Price,,7,2013,0,0,0,0,0,Constance Zimmer,0,0,actor,support,8
310,Roscoe Sweeney,,12,2015,0,0,0,0,0,Kevin Nagle,0,0,actor,support,2
311,Rose,,11,2015,0,0,0,0,0,Lesley Boone,0,0,actor,support,9
312,Ruben,,15,2015,0,0,0,0,0,Kieran Mulcare,0,0,actor,support,4
313,Ruben Mackenzie,,7,2013,0,0,0,0,0,Gaius Charles,0,0,actor,support,1
314,Rufus,,11,2015,0,0,0,0,0,Chris Browning,0,0,actor,support,3
315,Sam Wilson / Falcon,,9,2014,0,0,0,0,0,Anthony Mackie,0,0,actor,avenger,40
316,Samuel Sterns,,1,2008,0,0,0,0,0,Tim Blake Nelson,0,0,actor,support,10
317,Sasha Demidov,,11,2015,0,0,0,0,0,James Landry Hébert,0,0,actor,support,2
318,Savin,,6,2013,0,0,0,0,0,James Badge Dale,0,0,actor,support,10
319,Scott Lang / Ant-Man,,14,2015,0,0,0,0,0,Paul Rudd,0,0,actor,avenger,20
320,Sebastian Derik,,7,2013,0,0,0,0,0,Brian Van Holt,0,0,actor,support,2
321,Senator Brandt,,4,2011,0,0,0,0,0,Michael Brandon,0,0,actor,support,10
322,Senator Stern,,2,2010,0,0,0,0,0,Garry Shandling,0,0,actor,support,20
323,Sgt. Brett Mahoney,,12,2015,0,0,0,0,0,Royce Johnson,0,0,actor,undefined,15
324,Sheldon McFee,,11,2015,0,0,0,0,0,Devin Ratray,0,0,actor,support,2
325,Sitwell,,3,2011,0,0,0,0,0,Maximiliano Hernández,0,0,actor,support,33
326,Smithsonian Museum Visitor,,9,2014,0,0,0,0,0,James Lewis,0,0,actor,support,10
327,Sofia,,7,2013,0,0,0,0,0,Emily Baldoni,0,0,actor,support,1
328,Sok,,13,2015,0,0,0,0,0,Lukas DiSparrow,0,0,actor,support,10
329,Stan Lee,,0,2008,0,0,0,0,0,Stan Lee,0,0,actor,undefined,122
330,Stanley,,1,2008,0,0,0,0,0,Paul Soles,0,0,actor,support,10
331,Stephanie Malick,,7,2013,0,0,0,0,0,Bethany Joy Lenz,0,0,actor,support,2
332,Steve Rogers / Captain America,,4,2011,0,0,0,0,0,Chris Evans,0,0,actor,avenger,71
333,Stick,,12,2015,0,0,0,0,0,Scott Glenn,0,0,actor,undefined,5
334,Stone,,12,2015,0,0,0,0,0,David Sobolov,0,0,actor,support,2
335,Stone,,12,2015,0,0,0,0,0,Jasson Finney,0,0,actor,support,2
336,Sunil Bakshi,,7,2013,0,0,0,0,0,Simon Kassianides,0,0,actor,support,11
337,Taggart,,6,2013,0,0,0,0,0,Ashley Hamilton,0,0,actor,support,10
338,T'Challa,,16,2016,0,0,0,0,0,Chadwick Boseman,0,0,actor,avenger,10
339,Thanos,,5,2012,0,0,0,0,0,Josh Brolin,0,0,actor,villain,20
340,The Agent,,13,2015,0,0,0,0,0,Eric Morcos,0,0,actor,support,10
341,The Ancient One,,17,2016,0,0,0,0,0,Tilda Swinton,0,0,actor,undefined,10
342,The Baroness,,7,2013,0,0,0,0,0,Kathryn Leigh Scott,0,0,actor,support,1
343,The Broker,,10,2014,0,0,0,0,0,Christopher Fairbank,0,0,actor,support,10
344,The Collector,,8,2013,0,0,0,0,0,Benicio Del Toro,0,0,actor,undefined,20
345,The Other,,5,2012,0,0,0,0,0,Alexis Denisof,0,0,actor,support,20
346,Thomas Gloucester,,11,2015,0,0,0,0,0,Casey Sander,0,0,actor,support,2
347,Thomas Nash,,7,2013,0,0,0,0,0,Brad Dourif,0,0,actor,support,1
348,Thomas Roberts,,5,2012,0,0,0,0,0,Thomas Roberts,0,0,actor,support,20
349,Thor,,3,2011,0,0,0,0,0,Chris Hemsworth,0,0,actor,avenger,40
350,Timothy 'Dum Dum' Dugan,,4,2011,0,0,0,0,0,Neal McDonough,0,0,actor,shield,12
351,Tina Adams,,7,2013,0,0,0,0,0,Katie Hilliard,0,0,actor,support,1
352,Tom Corbett,,1,2008,0,0,0,0,0,Bill Bixby,0,0,actor,support,10
353,Tony Stark / Iron Man,,0,2008,0,0,0,0,0,Robert Downey Jr.,0,0,actor,avenger,70
354,Trevor Slattery,,6,2013,0,0,0,0,0,Ben Kingsley,0,0,actor,support,10
355,Trish Walker,,15,2015,0,0,0,0,0,Rachael Taylor,0,0,actor,undefined,12
356,Turk Barrett,,12,2015,0,0,0,0,0,Rob Morgan,0,0,actor,support,7
357,Tyr,,8,2013,0,0,0,0,0,Clive Russell,0,0,actor,support,10
358,Ultron,,13,2015,0,0,0,0,0,James Spader,0,0,actor,villain,10
359,Ulysses Klaue,,13,2015,0,0,0,0,0,Andy Serkis,0,0,actor,support,10
360,Vanessa Marianna,,12,2015,0,0,0,0,0,Ayelet Zurer,0,0,actor,undefined,9
361,Vernon Masters,,11,2015,0,0,0,0,0,Kurtwood Smith,0,0,actor,support,7
362,Victoria Hand,,7,2013,0,0,0,0,0,Saffron Burrows,0,0,actor,support,4
363,Violet,,11,2015,0,0,0,0,0,Sarah Bolger,0,0,actor,support,3
364,Vladimir Ranskahov,,12,2015,0,0,0,0,0,Nikolai Nikolaeff,0,0,actor,support,4
365,Volstagg,,3,2011,0,0,0,0,0,Ray Stevenson,0,0,actor,support,20
366,Wanda Maximoff / Scarlet Witch,,9,2014,0,0,0,0,0,Elizabeth Olsen,0,0,actor,avenger,30
367,Wendy Ross-Hogarth,,15,2015,0,0,0,0,0,Robin Weigert,0,0,actor,support,7
368,Whitney Frost,,11,2015,0,0,0,0,0,Wynn Everett,0,0,actor,support,10
369,Will Daniels,,7,2013,0,0,0,0,0,Dillon Casey,0,0,actor,support,2
370,Will Simpson,,15,2015,0,0,0,0,0,Wil Traval,0,0,actor,support,8
371,William Ginter Riva,,0,2008,0,0,0,0,0,Peter Billingsley,0,0,actor,support,10
372,Wilson Fisk,,12,2015,0,0,0,0,0,Vincent D'Onofrio,0,0,actor,villain,14
373,Wong,,17,2016,0,0,0,0,0,Benedict Wong,0,0,actor,undefined,10
374,Zemo,,16,2016,0,0,0,0,0,Daniel Brühl,0,0,actor,villain,10
375,Zrinka,,13,2015,0,0,0,0,0,Dominique Provost-Chalkley,0,0,actor,support,10
