order,movie,year,actor,character
7,Agents of S.H.I.E.L.D.,2013,Clark Gregg,Phil Coulson
7,Agents of S.H.I.E.L.D.,2013,Ming-Na Wen,Melinda May
7,Agents of S.H.I.E.L.D.,2013,Chloe Bennet,Daisy 'Skye' Johnson
7,Agents of S.H.I.E.L.D.,2013,Iain De Caestecker,Leo Fitz
7,Agents of S.H.I.E.L.D.,2013,Elizabeth Henstridge,Jemma Simmons
7,Agents of S.H.I.E.L.D.,2013,Brett Dalton,Grant Ward
7,Agents of S.H.I.E.L.D.,2013,Henry Simmons,Alphonso 'Mack' Mackenzie
7,Agents of S.H.I.E.L.D.,2013,Nick Blood,Lance Hunter
7,Agents of S.H.I.E.L.D.,2013,Adrianne Palicki,Bobbi Morse
7,Agents of S.H.I.E.L.D.,2013,Luke Mitchell,Lincoln Campbell
8,Thor: The Dark World,2013,Chris Hemsworth,Thor
8,Thor: The Dark World,2013,Natalie Portman,Jane Foster
8,Thor: The Dark World,2013,Tom Hiddleston,Loki
8,Thor: The Dark World,2013,Anthony Hopkins,Odin
8,Thor: The Dark World,2013,Christopher Eccleston,Malekith
8,Thor: The Dark World,2013,Jaimie Alexander,Sif
8,Thor: The Dark World,2013,Zachary Levi,Fandral
8,Thor: The Dark World,2013,Ray Stevenson,Volstagg
8,Thor: The Dark World,2013,Tadanobu Asano,Hogun
8,Thor: The Dark World,2013,Idris Elba,Heimdall
8,Thor: The Dark World,2013,Rene Russo,Frigga
8,Thor: The Dark World,2013,Adewale Akinnuoye-Agbaje,Algrim / Kurse
8,Thor: The Dark World,2013,Kat Dennings,Darcy Lewis
8,Thor: The Dark World,2013,Stellan Skarsgård,Erik Selvig
8,Thor: The Dark World,2013,Alice Krige,Eir
9,Captain America: The Winter Soldier,2014,Chris Evans,Steve Rogers / Captain America
9,Captain America: The Winter Soldier,2014,Samuel L. Jackson,Nick Fury
9,Captain America: The Winter Soldier,2014,Scarlett Johansson,Natasha Romanoff / Black Widow
9,Captain America: The Winter Soldier,2014,Robert Redford,Alexander Pierce
9,Captain America: The Winter Soldier,2014,Sebastian Stan,Bucky Barnes / Winter Soldier
9,Captain America: The Winter Soldier,2014,Anthony Mackie,Sam Wilson / Falcon
9,Captain America: The Winter Soldier,2014,Cobie Smulders,Maria Hill
9,Captain America: The Winter Soldier,2014,Frank Grillo,Brock Rumlow
9,Captain America: The Winter Soldier,2014,Maximiliano Hernández,Jasper Sitwell
9,Captain America: The Winter Soldier,2014,Emily VanCamp,Agent 13
9,Captain America: The Winter Soldier,2014,Hayley Atwell,Peggy Carter
9,Captain America: The Winter Soldier,2014,Toby Jones,Dr. Arnim Zola
9,Captain America: The Winter Soldier,2014,Stan Lee,Smithsonian Guard
9,Captain America: The Winter Soldier,2014,Callan Mulvey,Jack Rollins
9,Captain America: The Winter Soldier,2014,Jenny Agutter,Councilwoman Hawley
10,Guardians of the Galaxy,2014,Chris Pratt,Peter Quill
10,Guardians of the Galaxy,2014,Zoe Saldana,Gamora
10,Guardians of the Galaxy,2014,Dave Bautista,Drax
10,Guardians of the Galaxy,2014,Vin Diesel,Groot
10,Guardians of the Galaxy,2014,Bradley Cooper,Rocket
10,Guardians of the Galaxy,2014,Lee Pace,Ronan
10,Guardians of the Galaxy,2014,Michael Rooker,Yondu Udonta
10,Guardians of the Galaxy,2014,Karen Gillan,Nebula
10,Guardians of the Galaxy,2014,Djimon Hounsou,Korath
10,Guardians of the Galaxy,2014,John C. Reilly,Corpsman Dey
10,Guardians of the Galaxy,2014,Glenn Close,Nova Prime
10,Guardians of the Galaxy,2014,Benicio Del Toro,The Collector
10,Guardians of the Galaxy,2014,Laura Haddock,Meredith Quill
10,Guardians of the Galaxy,2014,Sean Gunn,Kraglin / On Set Rocket
10,Guardians of the Galaxy,2014,Peter Serafinowicz,Denarian Saal
11,Agent Carter,2015,Hayley Atwell,Peggy Carter
11,Agent Carter,2015,James D'Arcy,Edwin Jarvis
11,Agent Carter,2015,Enver Gjokaj,Daniel Sousa
11,Agent Carter,2015,Chad Michael Murray,Jack Thompson
11,Agent Carter,2015,Wynn Everett,Whitney Frost
11,Agent Carter,2015,Reggie Austin,Jason Wilkes
11,Agent Carter,2015,Bridget Regan,Dottie Underwood
11,Agent Carter,2015,Lesley Boone,Rose
12,Daredevil,2015,Charlie Cox,Matt Murdock
12,Daredevil,2015,Deborah Ann Woll,Karen Page
12,Daredevil,2015,Elden Henson,Foggy Nelson
12,Daredevil,2015,Vincent D'Onofrio,Wilson Fisk
12,Daredevil,2015,Royce Johnson,Sgt. Brett Mahoney
12,Daredevil,2015,Jon Bernthal,Frank Castle
13,Avengers: Age of Ultron,2015,Robert Downey Jr.,Tony Stark / Iron Man
13,Avengers: Age of Ultron,2015,Chris Hemsworth,Thor
13,Avengers: Age of Ultron,2015,Mark Ruffalo,Bruce Banner / Hulk
13,Avengers: Age of Ultron,2015,Chris Evans,Steve Rogers / Captain America
13,Avengers: Age of Ultron,2015,Scarlett Johansson,Natasha Romanoff / Black Widow
13,Avengers: Age of Ultron,2015,Jeremy Renner,Clint Barton / Hawkeye
13,Avengers: Age of Ultron,2015,James Spader,Ultron
13,Avengers: Age of Ultron,2015,Samuel L. Jackson,Nick Fury
13,Avengers: Age of Ultron,2015,Don Cheadle,James Rhodes / War Machine
13,Avengers: Age of Ultron,2015,Aaron Taylor-Johnson,Pietro Maximoff / Quicksilver
13,Avengers: Age of Ultron,2015,Elizabeth Olsen,Wanda Maximoff / Scarlet Witch
13,Avengers: Age of Ultron,2015,Paul Bettany,Jarvis / Vision
13,Avengers: Age of Ultron,2015,Cobie Smulders,Maria Hill
13,Avengers: Age of Ultron,2015,Anthony Mackie,Sam Wilson / Falcon
13,Avengers: Age of Ultron,2015,Hayley Atwell,Peggy Carter
14,Ant-Man,2015,Paul Rudd,Scott Lang / Ant-Man
14,Ant-Man,2015,Michael Douglas,Dr. Hank Pym
14,Ant-Man,2015,Evangeline Lilly,Hope van Dyne
14,Ant-Man,2015,Corey Stoll,Darren Cross / Yellowjacket
14,Ant-Man,2015,Bobby Cannavale,Paxton
14,Ant-Man,2015,Anthony Mackie,Sam Wilson / Falcon
14,Ant-Man,2015,Judy Greer,Maggie Lang
14,Ant-Man,2015,Abby Ryder Fortson,Cassie Lang
14,Ant-Man,2015,Michael Peña,Luis
14,Ant-Man,2015,David Dastmalchian,Kurt
14,Ant-Man,2015,T.I.,Dave
14,Ant-Man,2015,Hayley Atwell,Peggy Carter
14,Ant-Man,2015,Wood Harris,Gale
14,Ant-Man,2015,John Slattery,Howard Stark
14,Ant-Man,2015,Kevin Glen Kavanaugh,Cop #2
15,Jessica Jones,2015,Krysten Ritter,Jessica Jones
15,Jessica Jones,2015,Rachael Taylor,Trish Walker
15,Jessica Jones,2015,Eka Darville,Malcolm Ducasse
15,Jessica Jones,2015,David Tennant,Kilgrave
16,Captain America: Civil War,2016,Chris Evans,Steve Rogers / Captain America
16,Captain America: Civil War,2016,Robert Downey Jr.,Tony Stark / Iron Man
16,Captain America: Civil War,2016,Scarlett Johansson,Natasha Romanoff / Black Widow
16,Captain America: Civil War,2016,Sebastian Stan,Bucky Barnes / Winter Soldier
16,Captain America: Civil War,2016,Anthony Mackie,Sam Wilson / Falcon
16,Captain America: Civil War,2016,Don Cheadle,Lieutenant James Rhodes / War Machine
16,Captain America: Civil War,2016,Jeremy Renner,Clint Barton / Hawkeye
16,Captain America: Civil War,2016,Chadwick Boseman,T'Challa / Black Panther
16,Captain America: Civil War,2016,Paul Bettany,Vision
16,Captain America: Civil War,2016,Elizabeth Olsen,Wanda Maximoff / Scarlet Witch
16,Captain America: Civil War,2016,Paul Rudd,Scott Lang / Ant-Man
16,Captain America: Civil War,2016,Emily VanCamp,Sharon Carter
16,Captain America: Civil War,2016,Tom Holland,Peter Parker / Spider-Man
16,Captain America: Civil War,2016,Daniel Brühl,Zemo
16,Captain America: Civil War,2016,Frank Grillo,Brock Rumlow / Crossbones
17,Doctor Strange,2016,Rachel McAdams,
17,Doctor Strange,2016,Benedict Cumberbatch,Dr. Stephen Strange
17,Doctor Strange,2016,Tilda Swinton,The Ancient One
17,Doctor Strange,2016,Mads Mikkelsen,
17,Doctor Strange,2016,Scott Adkins,
17,Doctor Strange,2016,Chiwetel Ejiofor,Baron Mordo
17,Doctor Strange,2016,Michael Stuhlbarg,Nicodemus West
17,Doctor Strange,2016,Benedict Wong,Wong
17,Doctor Strange,2016,Amy Landecker,
17,Doctor Strange,2016,Juani Feliz,Girl on the Bus
17,Doctor Strange,2016,Shina Shihoko Nagai,Martial Artist / Waitress
17,Doctor Strange,2016,Dante Briggins,Orderly
17,Doctor Strange,2016,Emeson Nwolie,Passer-by
17,Doctor Strange,2016,Daniel Eghan,Hospital Visitor
17,Doctor Strange,2016,Bern Collaco,Orderly
